record my, total number of times is 1
record father, total number of times is 1
record was, total number of times is 1
record a, total number of times is 1
record self, total number of times is 1
record taught, total number of times is 1
record mandolin, total number of times is 1
record player, total number of times is 1
record he, total number of times is 1
record was, total number of times is 2
record one, total number of times is 1
record of, total number of times is 1
record the, total number of times is 1
record best, total number of times is 1
record string, total number of times is 1
record instrument, total number of times is 1
record players, total number of times is 1
record in, total number of times is 1
record our, total number of times is 1
record town, total number of times is 1
record he, total number of times is 2
record could, total number of times is 1
record not, total number of times is 1
record read, total number of times is 1
record music, total number of times is 1
record but, total number of times is 1
record if, total number of times is 1
record he, total number of times is 3
record heard, total number of times is 1
record a, total number of times is 2
record tune, total number of times is 1
record a, total number of times is 3
record few, total number of times is 1
record times, total number of times is 1
record he, total number of times is 4
record could, total number of times is 2
record play, total number of times is 1
record it, total number of times is 1
record when, total number of times is 1
record he, total number of times is 5
record was, total number of times is 3
record younger, total number of times is 1
record he, total number of times is 6
record was, total number of times is 4
record a, total number of times is 4
record member, total number of times is 1
record of, total number of times is 2
record a, total number of times is 5
record small, total number of times is 1
record country, total number of times is 1
record music, total number of times is 2
record band, total number of times is 1
record they, total number of times is 1
record would, total number of times is 1
record play, total number of times is 2
record at, total number of times is 1
record local, total number of times is 1
record dances, total number of times is 1
record and, total number of times is 1
record on, total number of times is 1
record a, total number of times is 6
record few, total number of times is 2
record occasions, total number of times is 1
record would, total number of times is 2
record play, total number of times is 3
record for, total number of times is 1
record the, total number of times is 2
record local, total number of times is 2
record radio, total number of times is 1
record station, total number of times is 1
record he, total number of times is 7
record often, total number of times is 1
record told, total number of times is 1
record us, total number of times is 1
record how, total number of times is 1
record he, total number of times is 8
record had, total number of times is 1
record auditioned, total number of times is 1
record and, total number of times is 2
record earned, total number of times is 1
record a, total number of times is 7
record position, total number of times is 1
record in, total number of times is 2
record a, total number of times is 8
record band, total number of times is 2
record that, total number of times is 1
record featured, total number of times is 1
record patsy, total number of times is 1
record cline, total number of times is 1
record as, total number of times is 1
record their, total number of times is 1
record lead, total number of times is 1
record singer, total number of times is 1
record he, total number of times is 9
record told, total number of times is 2
record the, total number of times is 3
record family, total number of times is 1
record that, total number of times is 2
record after, total number of times is 1
